S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top,,,
0.0801602000,2.7927000000,1.5809000000,0.0023567700,0.0023747800,0.0012466300,0.0012458600,471.3540000000,474.9560000000,249.3260000000,249.1730000000,,,
0.0811623000,2.7962500000,1.5898100000,0.0023556900,0.0023731300,0.0012466800,0.0012459400,471.1370000000,474.6260000000,249.3370000000,249.1890000000,,,
0.0821642000,2.7998400000,1.5986000000,0.0023549700,0.0023711100,0.0012467400,0.0012460200,470.9940000000,474.2220000000,249.3480000000,249.2050000000,,,
0.0831662000,2.8034400000,1.6072600000,0.0023548500,0.0023685300,0.0012468300,0.0012461300,470.9700000000,473.7060000000,249.3650000000,249.2260000000,,,
0.0841682000,2.8070500000,1.6158300000,0.0023542100,0.0023664600,0.0012469100,0.0012462300,470.8430000000,473.2920000000,249.3820000000,249.2460000000,,,
0.0851702000,2.8106600000,1.6243100000,0.0023527100,0.0023652900,0.0012470100,0.0012463500,470.5430000000,473.0590000000,249.4020000000,249.2700000000,,,
0.0861722000,2.8142900000,1.6327100000,0.0023520700,0.0023632700,0.0012471100,0.0012464700,470.4140000000,472.6540000000,249.4220000000,249.2940000000,,,
0.0871742000,2.8179100000,1.6410300000,0.0023511100,0.0023615900,0.0012472300,0.0012466000,470.2230000000,472.3180000000,249.4450000000,249.3200000000,,,
0.0881762000,2.8215300000,1.6492900000,0.0023496300,0.0023604400,0.0012473400,0.0012467300,469.9260000000,472.0880000000,249.4680000000,249.3460000000,,,
0.0891782000,2.8251500000,1.6574700000,0.0023490900,0.0023583800,0.0012474700,0.0012468700,469.8180000000,471.6760000000,249.4930000000,249.3740000000,,,
0.0901802000,2.8287700000,1.6656000000,0.0023489800,0.0023558900,0.0012475900,0.0012470100,469.7960000000,471.1770000000,249.5180000000,249.4020000000,,,
0.0911822000,2.8323700000,1.6736900000,0.0023476400,0.0023546600,0.0012477200,0.0012471500,469.5280000000,470.9320000000,249.5430000000,249.4290000000,,,
0.0921842000,2.8359500000,1.6817400000,0.0023456200,0.0023541100,0.0012478400,0.0012472800,469.1230000000,470.8230000000,249.5680000000,249.4560000000,,,
0.0931862000,2.8395200000,1.6897400000,0.0023448500,0.0023523400,0.0012479600,0.0012474200,468.9710000000,470.4680000000,249.5930000000,249.4830000000,,,
0.0941882000,2.8430800000,1.6977100000,0.0023443300,0.0023503200,0.0012480900,0.0012475500,468.8670000000,470.0650000000,249.6180000000,249.5110000000,,,
0.0951903000,2.8466200000,1.7056400000,0.0023427100,0.0023494500,0.0012482100,0.0012476900,468.5420000000,469.8890000000,249.6420000000,249.5370000000,,,
0.0961922000,2.8501500000,1.7135300000,0.0023415800,0.0023480700,0.0012483400,0.0012478200,468.3170000000,469.6140000000,249.6670000000,249.5640000000,,,
0.0971942000,2.8536600000,1.7214000000,0.0023409200,0.0023462700,0.0012484500,0.0012479500,468.1840000000,469.2530000000,249.6910000000,249.5900000000,,,
0.0981963000,2.8571500000,1.7292400000,0.0023397600,0.0023449600,0.0012485700,0.0012480800,467.9520000000,468.9910000000,249.7150000000,249.6150000000,,,
0.0991982000,2.8606100000,1.7370600000,0.0023388200,0.0023434700,0.0012486800,0.0012481900,467.7630000000,468.6930000000,249.7370000000,249.6390000000,,,
0.1002000000,2.8640500000,1.7448600000,0.0023374500,0.0023424000,0.0012487900,0.0012483100,467.4890000000,468.4800000000,249.7590000000,249.6630000000,,,
0.1012020000,2.8674600000,1.7526400000,0.0023360200,0.0023414200,0.0012489000,0.0012484200,467.2040000000,468.2840000000,249.7790000000,249.6850000000,,,
0.1022040000,2.8708600000,1.7603900000,0.0023357600,0.0023392800,0.0012490000,0.0012485400,467.1530000000,467.8560000000,249.8000000000,249.7070000000,,,
0.1032060000,2.8742200000,1.7681400000,0.0023350800,0.0023376000,0.0012490900,0.0012486300,467.0150000000,467.5190000000,249.8190000000,249.7270000000,,,
0.1042080000,2.8775500000,1.7758900000,0.0023336700,0.0023366400,0.0012491800,0.0012487300,466.7340000000,467.3270000000,249.8370000000,249.7460000000,,,
0.1052100000,2.8808400000,1.7836300000,0.0023327000,0.0023352700,0.0012492600,0.0012488100,466.5390000000,467.0550000000,249.8510000000,249.7620000000,,,
0.1062120000,2.8841000000,1.7913700000,0.0023318300,0.0023338000,0.0012493300,0.0012488900,466.3660000000,466.7610000000,249.8660000000,249.7770000000,,,
0.1072140000,2.8873200000,1.7991100000,0.0023301500,0.0023331800,0.0012493800,0.0012489500,466.0310000000,466.6360000000,249.8770000000,249.7890000000,,,
0.1082160000,2.8905000000,1.8068500000,0.0023280500,0.0023329800,0.0012494400,0.0012490100,465.6100000000,466.5960000000,249.8870000000,249.8010000000,,,
0.1092180000,2.8936700000,1.8145700000,0.0023269600,0.0023318000,0.0012494800,0.0012490600,465.3930000000,466.3590000000,249.8960000000,249.8120000000,,,
0.1102200000,2.8968100000,1.8222600000,0.0023270200,0.0023294700,0.0012495300,0.0012491100,465.4040000000,465.8940000000,249.9060000000,249.8220000000,,,
0.1112220000,2.8999200000,1.8299600000,0.0023258400,0.0023284200,0.0012495600,0.0012491500,465.1680000000,465.6830000000,249.9120000000,249.8300000000,,,
0.1122240000,2.9029900000,1.8376500000,0.0023236400,0.0023283800,0.0012495900,0.0012491900,464.7280000000,465.6760000000,249.9190000000,249.8380000000,,,
0.1132260000,2.9060400000,1.8453300000,0.0023222800,0.0023275400,0.0012496200,0.0012492200,464.4560000000,465.5070000000,249.9230000000,249.8440000000,,,
0.1142280000,2.9090800000,1.8529800000,0.0023209500,0.0023266600,0.0012496400,0.0012492500,464.1900000000,465.3320000000,249.9280000000,249.8510000000,,,
0.1152300000,2.9121000000,1.8606100000,0.0023203600,0.0023250900,0.0012496700,0.0012492900,464.0710000000,465.0170000000,249.9330000000,249.8570000000,,,
0.1162320000,2.9151000000,1.8682200000,0.0023203300,0.0023229500,0.0012496900,0.0012493200,464.0650000000,464.5890000000,249.9390000000,249.8640000000,,,
0.1172340000,2.9180700000,1.8758200000,0.0023187600,0.0023223700,0.0012497100,0.0012493400,463.7520000000,464.4750000000,249.9420000000,249.8680000000,,,
0.1182360000,2.9210200000,1.8834100000,0.0023163700,0.0023226200,0.0012497300,0.0012493600,463.2750000000,464.5250000000,249.9450000000,249.8730000000,,,
0.1192380000,2.9239500000,1.8909800000,0.0023158000,0.0023210900,0.0012497400,0.0012493900,463.1610000000,464.2180000000,249.9480000000,249.8770000000,,,
0.1202400000,2.9268700000,1.8985300000,0.0023159300,0.0023188500,0.0012497600,0.0012494100,463.1870000000,463.7710000000,249.9510000000,249.8820000000,,,
0.1212420000,2.9297600000,1.9060700000,0.0023145200,0.0023181900,0.0012497700,0.0012494300,462.9040000000,463.6390000000,249.9540000000,249.8860000000,,,
0.1222440000,2.9326200000,1.9136000000,0.0023129000,0.0023177400,0.0012497800,0.0012494500,462.5810000000,463.5480000000,249.9560000000,249.8890000000,,,
0.1232460000,2.9354700000,1.9211100000,0.0023120600,0.0023165500,0.0012497900,0.0012494600,462.4110000000,463.3100000000,249.9580000000,249.8920000000,,,
0.1242480000,2.9383000000,1.9286000000,0.0023110500,0.0023155200,0.0012498000,0.0012494800,462.2110000000,463.1030000000,249.9600000000,249.8950000000,,,
0.1252500000,2.9411100000,1.9360800000,0.0023098000,0.0023147600,0.0012498100,0.0012494900,461.9610000000,462.9510000000,249.9610000000,249.8980000000,,,
0.1262520000,2.9439100000,1.9435400000,0.0023091200,0.0023134400,0.0012498200,0.0012495100,461.8230000000,462.6880000000,249.9630000000,249.9010000000,,,
0.1272540000,2.9466900000,1.9509800000,0.0023082300,0.0023123500,0.0012498200,0.0012495200,461.6470000000,462.4700000000,249.9650000000,249.9040000000,,,
0.1282560000,2.9494500000,1.9584100000,0.0023069100,0.0023117000,0.0012498300,0.0012495400,461.3820000000,462.3400000000,249.9670000000,249.9070000000,,,
0.1292580000,2.9521900000,1.9658300000,0.0023056800,0.0023109900,0.0012498400,0.0012495500,461.1370000000,462.1970000000,249.9690000000,249.9110000000,,,
0.1302600000,2.9549300000,1.9732200000,0.0023047600,0.0023099700,0.0012498500,0.0012495700,460.9530000000,461.9930000000,249.9710000000,249.9140000000,,,
0.1312620000,2.9576500000,1.9805900000,0.0023043000,0.0023085200,0.0012498700,0.0012495900,460.8600000000,461.7040000000,249.9740000000,249.9190000000,,,
0.1322640000,2.9603500000,1.9879500000,0.0023033400,0.0023075700,0.0012498900,0.0012496200,460.6690000000,461.5140000000,249.9770000000,249.9230000000,,,
0.1332660000,2.9630400000,1.9953000000,0.0023028600,0.0023061700,0.0012499000,0.0012496400,460.5730000000,461.2350000000,249.9800000000,249.9270000000,,,
0.1342680000,2.9657000000,2.0026300000,0.0023029400,0.0023042300,0.0012499200,0.0012496600,460.5870000000,460.8450000000,249.9830000000,249.9310000000,,,
0.1352700000,2.9683300000,2.0099800000,0.0023015600,0.0023037600,0.0012499200,0.0012496600,460.3120000000,460.7520000000,249.9840000000,249.9330000000,,,
0.1362720000,2.9709200000,2.0173200000,0.0022997400,0.0023037400,0.0012499200,0.0012496700,459.9480000000,460.7480000000,249.9850000000,249.9340000000,,,
0.1372740000,2.9735000000,2.0246500000,0.0022992500,0.0023024200,0.0012499200,0.0012496700,459.8490000000,460.4850000000,249.9840000000,249.9350000000,,,
0.1382760000,2.9760500000,2.0319800000,0.0022982900,0.0023015700,0.0012499200,0.0012496800,459.6580000000,460.3140000000,249.9840000000,249.9350000000,,,
0.1392780000,2.9785700000,2.0393000000,0.0022966900,0.0023014000,0.0012499200,0.0012496800,459.3380000000,460.2790000000,249.9830000000,249.9360000000,,,
0.1402800000,2.9810900000,2.0466000000,0.0022964600,0.0022998500,0.0012499100,0.0012496800,459.2920000000,459.9700000000,249.9830000000,249.9370000000,,,
0.1412820000,2.9835800000,2.0538900000,0.0022959000,0.0022986600,0.0012499100,0.0012496800,459.1810000000,459.7320000000,249.9820000000,249.9370000000,,,
0.1422840000,2.9860500000,2.0611800000,0.0022949500,0.0022978700,0.0012499100,0.0012496900,458.9900000000,459.5740000000,249.9820000000,249.9370000000,,,
0.1432860000,2.9885000000,2.0684700000,0.0022943800,0.0022967300,0.0012499000,0.0012496800,458.8750000000,459.3460000000,249.9800000000,249.9360000000,,,
0.1442880000,2.9909100000,2.0757500000,0.0022931500,0.0022962500,0.0012498900,0.0012496800,458.6300000000,459.2500000000,249.9780000000,249.9350000000,,,
0.1452900000,2.9933000000,2.0830300000,0.0022929100,0.0022948100,0.0012498700,0.0012496600,458.5820000000,458.9620000000,249.9750000000,249.9330000000,,,
0.1462920000,2.9956500000,2.0903100000,0.0022922500,0.0022937900,0.0012498600,0.0012496500,458.4500000000,458.7580000000,249.9710000000,249.9300000000,,,
0.1472940000,2.9979700000,2.0976000000,0.0022906000,0.0022938000,0.0012498300,0.0012496300,458.1190000000,458.7590000000,249.9660000000,249.9250000000,,,
0.1482960000,3.0002700000,2.1048700000,0.0022895500,0.0022932000,0.0012498000,0.0012496000,457.9100000000,458.6400000000,249.9610000000,249.9210000000,,,
0.1492980000,3.0025500000,2.1121400000,0.0022881900,0.0022929400,0.0012497800,0.0012495900,457.6390000000,458.5880000000,249.9560000000,249.9170000000,,,
0.1503000000,3.0048300000,2.1193900000,0.0022872300,0.0022922900,0.0012497600,0.0012495700,457.4460000000,458.4580000000,249.9510000000,249.9140000000,,,
0.1513020000,3.0070900000,2.1266300000,0.0022867200,0.0022912200,0.0012497400,0.0012495600,457.3450000000,458.2430000000,249.9480000000,249.9120000000,,,
0.1523040000,3.0093500000,2.1338500000,0.0022862300,0.0022901300,0.0012497300,0.0012495500,457.2460000000,458.0260000000,249.9460000000,249.9100000000,,,
0.1533060000,3.0115900000,2.1410600000,0.0022857300,0.0022890800,0.0012497200,0.0012495500,457.1460000000,457.8150000000,249.9440000000,249.9090000000,,,
0.1543080000,3.0138100000,2.1482600000,0.0022846000,0.0022886600,0.0012497100,0.0012495400,456.9210000000,457.7310000000,249.9420000000,249.9080000000,,,
0.1553100000,3.0160100000,2.1554600000,0.0022844900,0.0022872600,0.0012497000,0.0012495400,456.8980000000,457.4510000000,249.9410000000,249.9070000000,,,
0.1563120000,3.0181900000,2.1626500000,0.0022839100,0.0022863200,0.0012496900,0.0012495300,456.7810000000,457.2640000000,249.9390000000,249.9060000000,,,
0.1573140000,3.0203400000,2.1698400000,0.0022824000,0.0022863400,0.0012496800,0.0012495300,456.4800000000,457.2690000000,249.9370000000,249.9050000000,,,
0.1583160000,3.0224800000,2.1770200000,0.0022820700,0.0022851900,0.0012496700,0.0012495200,456.4140000000,457.0380000000,249.9350000000,249.9040000000,,,
0.1593180000,3.0246100000,2.1841900000,0.0022806400,0.0022851600,0.0012496700,0.0012495200,456.1290000000,457.0330000000,249.9340000000,249.9040000000,,,
0.1603200000,3.0267200000,2.1913500000,0.0022791300,0.0022852200,0.0012496600,0.0012495200,455.8270000000,457.0450000000,249.9330000000,249.9040000000,,,
0.1613220000,3.0288400000,2.1984900000,0.0022788900,0.0022840400,0.0012496700,0.0012495400,455.7790000000,456.8090000000,249.9350000000,249.9070000000,,,
0.1623240000,3.0309500000,2.2056100000,0.0022791000,0.0022824200,0.0012496900,0.0012495500,455.8200000000,456.4830000000,249.9370000000,249.9110000000,,,
0.1633260000,3.0330500000,2.2127300000,0.0022789400,0.0022811900,0.0012497000,0.0012495700,455.7880000000,456.2380000000,249.9410000000,249.9150000000,,,
0.1643280000,3.0351200000,2.2198500000,0.0022772800,0.0022814700,0.0012497200,0.0012495900,455.4560000000,456.2940000000,249.9440000000,249.9180000000,,,
0.1653300000,3.0371700000,2.2269600000,0.0022767000,0.0022806900,0.0012497400,0.0012496100,455.3400000000,456.1380000000,249.9470000000,249.9230000000,,,
0.1663320000,3.0392200000,2.2340600000,0.0022765300,0.0022795000,0.0012497600,0.0012496400,455.3070000000,455.9010000000,249.9510000000,249.9270000000,,,
0.1673340000,3.0412400000,2.2411500000,0.0022757400,0.0022789800,0.0012497800,0.0012496600,455.1480000000,455.7950000000,249.9560000000,249.9330000000,,,
0.1683360000,3.0432500000,2.2482400000,0.0022760000,0.0022774000,0.0012498100,0.0012496900,455.1990000000,455.4790000000,249.9610000000,249.9380000000,,,
0.1693380000,3.0452300000,2.2553300000,0.0022757700,0.0022763400,0.0012498200,0.0012497100,455.1530000000,455.2670000000,249.9650000000,249.9420000000,,,
0.1703400000,3.0471600000,2.2624400000,0.0022741100,0.0022767000,0.0012498400,0.0012497300,454.8230000000,455.3400000000,249.9680000000,249.9460000000,,,
